City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,chester,40.1254,-75.8749,-13.83,67,0,0.45,US,1737603432
83,ceptura de sus,45.0167,26.3167,4.08,81,14,1.59,RO,1737603433
84,nola,40.922,14.5329,10.21,82,42,1.23,IT,1737603434
85,essaouira,31.5125,-9.77,11.72,93,12,1.54,MA,1737603435
86,barcelos,41.5388,-8.6151,9.65,94,47,2.73,PT,1737603436
87,bredasdorp,-34.5322,20.0403,20.24,95,86,0.67,ZA,1737603437
88,albany,42.6001,-73.9662,-10.87,59,100,0.89,US,1737603353
89,avarua,-21.2078,-159.775,28.03,78,75,2.06,CK,1737603440
90,san ignacio de velasco,-16.3667,-60.95,20.74,98,91,2.5,BO,1737603441
91,lucea,18.451,-78.1736,24.92,81,13,2.46,JM,1737603442
92,pokhara,28.2333,83.9833,20.94,24,0,1.97,NP,1737603443
93,wailua homesteads,22.0669,-159.378,23.44,63,0,6.17,US,1737603444
94,beyneu,45.3167,55.2,-9.6,71,2,7.16,KZ,1737603445
95,kanel,15.4916,-13.1763,22.18,12,9,3.63,SN,1737603447
96,san antonio de pale,-1.4014,5.6325,26.88,79,96,4.03,GQ,1737603448
97,tchintabaraden,15.8969,5.7985,16.13,25,0,5.51,NE,1737603450
98,kapit,2.0167,112.9333,26.85,91,100,0.18,MY,1737603451
99,iskateley,67.6803,53.1512,-16.05,91,100,5.55,RU,1737603452
100,dawson creek,55.7666,-120.2362,2.8,56,0,7.2,CA,1737603456
101,colonia,50.9333,6.95,4.98,95,75,6.17,DE,1737603363
102,puerto cabezas,14.0351,-83.3888,23.27,95,14,2.66,NI,1737603458
103,mogok,22.9167,96.5,21.65,31,9,1.19,MM,1737603460
104,dabrowa bialostocka,53.6536,23.3479,-0.22,95,83,2.88,PL,1737603461
105,selfoss,63.9331,-20.9971,-0.84,76,29,5.75,IS,1737603462
106,chai nat,15.1167,100.1,32.24,30,80,1.5,TH,1737603463
107,kambove,-10.8764,26.5969,14.36,97,96,0.66,CD,1737603464
108,olonkinbyen,70.9221,-8.7187,-2.03,88,95,6.55,SJ,1737603466
109,polyarnyy,69.1989,33.4478,-13.68,94,100,4.14,RU,1737603467
110,camana,-16.6228,-72.7111,21.08,91,80,2.6,PE,1737603468
111,guerrero negro,27.9769,-114.0611,14.91,51,100,0.56,MX,1737603469
112,axim,4.8699,-2.2405,26.27,87,60,3.32,GH,1737603470
113,raja,8.4596,25.678,20.17,22,2,2.17,SS,1737603235
114,morro do chapeu,-11.55,-41.1561,17.87,75,0,3.86,BR,1737603215
115,al jawf,29.5,38.75,7.94,37,1,2.23,SA,1737603475
116,palikir - national government center,6.9248,158.1611,31.47,70,40,6.69,FM,1737603476
117,lahore,31.5497,74.3436,10.99,76,20,0.0,PK,1737603128
118,utrik,11.2278,169.8474,26.49,80,98,9.59,MH,1737603479
119,lebu,-37.6167,-73.65,13.54,86,100,2.82,CL,1737603480
120,kendari,-3.945,122.4989,30.32,66,99,0.68,ID,1737603481
121,gbarnga,6.9956,-9.4722,20.39,99,24,0.99,LR,1737603482
122,sisimiut,66.9395,-53.6735,-7.24,85,100,2.48,GL,1737603483
123,kabo,7.6994,18.629,22.48,26,25,1.63,CF,1737603484
124,bilara,26.1792,73.7056,18.18,38,0,4.29,IN,1737603486
125,longyearbyen,78.2186,15.6401,-9.09,73,75,4.63,SJ,1737603487
126,bosaso,11.2842,49.1816,21.57,77,7,2.07,SO,1737603488
127,sampit,-2.5333,112.95,28.94,63,99,1.25,ID,1737603489
128,holbrook,40.8123,-73.0784,-7.19,63,75,0.0,US,1737603221
129,la passe,45.5549,-0.8967,7.0,89,2,1.4,FR,1737603493
130,port douglas,-16.4833,145.4667,30.62,68,100,3.25,AU,1737603494
131,birni n konni,13.7956,5.2553,18.76,20,0,4.95,NE,1737603495
132,inongo,-1.95,18.2667,21.94,90,100,1.59,CD,1737603496
133,constitucion,-35.3333,-72.4167,11.43,89,0,2.21,CL,1737603497
134,camocim,-2.9022,-40.8411,24.28,91,19,3.63,BR,1737603499
135,hsinchu,24.8036,120.9686,17.16,85,100,0.45,TW,1737603500
136,anadyr,64.75,177.4833,-15.0,77,100,9.0,RU,1737603501
137,galiakot,23.5167,74.0,20.59,42,17,3.65,IN,1737603502
138,kapa'a,22.0752,-159.319,24.18,63,0,6.17,US,1737603503
139,valparaiso,-33.0393,-71.6273,15.8,72,0,2.06,CL,1737603350
140,yuzhno-kurilsk,44.0306,145.8556,1.31,77,74,3.55,RU,1737603505
141,aras-asan,8.8908,126.3033,28.18,73,75,2.53,PH,1737603507
142,tiksi,71.6872,128.8694,-36.45,98,81,3.57,RU,1737603508
143,callao,-12.0667,-77.15,23.73,83,0,6.69,PE,1737603509
144,meadow lakes,61.6247,-149.6011,2.36,88,100,2.57,US,1737603510
